time=2026-03-09_12:13:29 op=NEW                        
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0145 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.siricontactsintents|30.6.106.13.102422,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0144 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.siriidentityinternal|20.3.102.13.102328,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0143 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.audio.audioflowdelegateplugin|30.20.109.13.102543,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0142 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.siricalendarintents|20.13.111.13.102543,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0141 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.sirisuggestions|20.9.104.13.102543,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0140 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.sirivideointents|30.9.105.13.102454,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0139 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.dialogengine|3401.5.101.13.101921,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0138 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.siripaymentsintents|13.5.105.13.102505,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0137 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.sirikitflow|30.6.105.13.102418,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0136 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.siriexpanseinternal|9.2.102.13.102340,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0135 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.generativeassistanttools.generativeassistantextension|5.16.103.13.102363,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0134 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.audiosuggestionsplugin|30.20.109.13.102543,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0133 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.camrootflowplugin|30.6.105.13.102418,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0132 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.sirisystemcommands|20.4.103.13.102505,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0131 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.siriplaybackcontrolintents|30.9.109.13.102543,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0130 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.siriinferenceflow|20.3.103.13.102428,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0129 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.clockflowplugin|30.18.112.13.102464,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0128 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.siriapplaunchintents|31.4.108.13.102543,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0127 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.sirireader|14.2.102.13.102418,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0126 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.deviceexpert.deviceexpertintents|30.6.105.13.102543,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0125 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.dailybriefingflowplugin|30.3.108.13.102464,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0124 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.homeautomationinternal|30.17.108.13.102464,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0123 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.siritranslationintents|18.5.101.13.102289,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0122 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.sirilinkflowplugin|24.2.103.13.102328,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0121 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.socialconversationflowdelegateplugin|9.23.117.13.102543,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0120 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.requestdispatcherbridges|24.2.102.13.102418,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0119 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.notebook.sirinotebook|30.8.107.13.102464,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0118 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.workoutannouncements|30.9.113.13.102543,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0117 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.messages.sirimessagesflow|31.17.116.13.102543,0
time=2026-03-09_12:13:29 op=MOD_CLIENT_LOCK             client=com.apple.UnifiedAssetFr count=0116 selector=UAF.Siri.DialogAssets|com.apple.siri.dialog.sirikitruntime|30.6.105.13.102418,0
